cayley,cayley,cayley
-859.1527099609375,-860.0582275390625,-530.5012817382812
-859.140380859375,-860.1077880859375,-530.4622802734375
-859.1452026367188,-860.1550903320312,-530.39013671875
-859.1383056640625,-860.1749877929688,-530.2615966796875
-859.151123046875,-860.2047119140625,-530.048828125
-859.15380859375,-860.2146606445312,-529.7971801757812
-859.1761474609375,-860.2359008789062,-529.568115234375
-859.1873168945312,-860.2389526367188,-529.639892578125
-859.2160034179688,-860.25439453125,-529.9302978515625
-859.230712890625,-860.2515258789062,-530.287353515625
-859.260498046875,-860.2630615234375,-530.4874877929688
-859.2734375,-860.2552490234375,-530.5498046875
-859.3001708984375,-860.264404296875,-530.5686645507812
-859.308349609375,-860.2517700195312,-530.5768432617188
-859.330322265625,-860.2574462890625,-530.5938110351562
-859.3331298828125,-860.2362670898438,-530.6047973632812
-859.3507080078125,-860.22998046875,-530.6187133789062
-859.3495483398438,-860.1844482421875,-530.6242065429688
-859.3646850585938,-860.141845703125,-530.630615234375
-859.3618774414062,-860.0300903320312,-530.6273803710938
-859.3768920898438,-859.9039306640625,-530.6224975585938
-859.3748168945312,-859.652099609375,-530.60400390625
-859.3916625976562,-859.41943359375,-530.5796508789062
-859.3919067382812,-859.032470703125,-530.5360107421875
-859.4114379882812,-858.9154663085938,-530.4848022460938
-859.4140625,-858.7543334960938,-530.4190063476562
-859.435791015625,-859.0982055664062,-530.3617553710938
-859.4398193359375,-859.3756713867188,-530.3272705078125
-859.4625244140625,-859.816650390625,-530.3320922851562
-859.466552734375,-860.07568359375,-530.3872680664062
-859.489013671875,-860.2811889648438,-530.4584350585938
-859.491943359375,-860.3773193359375,-530.5357666015625
-859.5133666992188,-860.45166015625,-530.585205078125
-859.5147705078125,-860.482666015625,-530.6170043945312
-859.5350341796875,-860.519287109375,-530.6244506835938
-859.5350341796875,-860.5319213867188,-530.622314453125
-859.5545043945312,-860.555908203125,-530.6088256835938
-859.5537109375,-860.5603637695312,-530.5907592773438
-859.5729370117188,-860.577392578125,-530.567138671875
-859.5719604492188,-860.57568359375,-530.5418701171875
-859.591552734375,-860.5878295898438,-530.5065307617188
-859.5908203125,-860.58056640625,-530.4655151367188
-859.6109008789062,-860.5890502929688,-530.3800048828125
-859.6105346679688,-860.5760498046875,-530.2618408203125
-859.6311645507812,-860.5802001953125,-530.0469970703125
-859.6309814453125,-860.5587768554688,-529.8726806640625
-859.6519165039062,-860.55322265625,-529.7593383789062
-859.651611328125,-860.5130004882812,-530.0262451171875
-859.672607421875,-860.482421875,-530.3796997070312
-859.6719970703125,-860.39697265625,-530.69189453125
-859.69287109375,-860.3118896484375,-530.814208984375
